Time;Solar;Wind;Geothermal;Biomass;Biogas;Small hydro
00:00;-45;3589;904;182;213;379
00:05;-46;3575;904;182;213;381
00:10;-46;3595;904;180;213;382
00:15;-46;3591;905;182;213;382
00:20;-46;3600;905;179;213;382
00:25;-45;3612;905;180;213;382
00:30;-46;3588;904;181;213;381
00:35;-46;3562;904;181;213;381
00:40;-46;3546;905;180;213;381
00:45;-46;3555;905;180;213;382
00:50;-45;3538;905;180;213;381
00:55;-45;3572;905;181;213;381
01:00;-46;3591;905;182;213;381
01:05;-45;3637;905;181;213;382
01:10;-45;3661;905;181;213;383
01:15;-45;3685;904;179;213;383
01:20;-45;3691;904;180;213;382
01:25;-45;3683;904;181;213;382
01:30;-46;3690;905;180;213;382
01:35;-45;3713;905;181;213;382
01:40;-45;3733;905;181;213;382
01:45;-45;3734;905;182;213;381
01:50;-45;3700;905;180;214;378
01:55;-45;3672;905;180;214;378
02:00;-45;3619;905;181;214;379
02:05;-45;3619;906;181;213;379
02:10;-45;3609;905;183;214;376
02:15;-46;3589;904;181;214;375
02:20;-45;3613;904;180;215;375
02:25;-45;3655;905;181;214;376
02:30;-45;3674;903;180;214;377
02:35;-45;3672;904;179;215;377
02:40;-45;3698;904;180;215;377
02:45;-45;3709;905;180;215;377
02:50;-45;3729;905;181;215;376
02:55;-45;3723;905;180;215;376
03:00;-46;3702;906;179;215;375
03:05;-45;3672;905;178;215;375
03:10;-45;3669;906;178;215;376
03:15;-45;3672;904;179;214;376
03:20;-46;3677;904;179;214;376
03:25;-46;3698;904;180;214;376
03:30;-46;3691;906;180;214;375
03:35;-46;3645;905;180;214;376
03:40;-45;3626;905;180;214;376
03:45;-46;3625;907;179;214;376
03:50;-45;3613;906;178;214;375
03:55;-45;3585;906;181;214;376
04:00;-46;3536;906;184;214;375
04:05;-46;3497;905;186;214;375
04:10;-46;3509;906;187;214;375
04:15;-46;3513;907;186;214;375
04:20;-46;3488;907;185;214;374
04:25;-46;3473;905;185;214;374
04:30;-47;3451;905;184;214;375
04:35;-47;3428;906;184;214;375
04:40;-47;3405;905;184;215;375
04:45;-47;3371;906;185;215;375
04:50;-47;3334;851;184;214;368
04:55;-46;3274;854;185;215;360
05:00;-46;3229;854;185;215;361
05:05;-47;3140;852;185;215;360
05:10;-47;3091;854;185;215;361
05:15;-46;3052;853;187;215;360
05:20;-47;3000;853;187;215;360
05:25;-47;2964;852;187;215;360
05:30;-47;2964;848;189;215;360
05:35;-47;2963;835;188;214;360
05:40;-47;2977;834;188;215;360
05:45;-47;3002;835;188;214;359
05:50;-43;3024;835;188;214;359
05:55;-32;3019;834;187;214;359
06:00;-11;3011;834;191;215;359
06:05;40;3001;835;193;214;359
06:10;114;2978;836;198;214;359
06:15;224;2973;835;197;214;359
06:20;381;2934;835;196;214;359
06:25;619;2889;836;198;214;359
06:30;904;2857;837;200;214;359
06:35;1247;2808;837;199;214;359
06:40;1710;2766;836;199;214;359
06:45;2171;2715;840;200;214;360
06:50;2544;2677;840;199;214;360
06:55;2926;2641;840;200;214;359
07:00;3398;2606;840;199;214;359
07:05;3794;2572;844;197;214;359
07:10;4101;2526;846;198;214;360
07:15;4635;2478;842;198;214;360
07:20;5460;2429;840;197;214;361
07:25;6095;2371;840;198;214;363
07:30;6590;2304;840;198;214;363
07:35;6890;2248;839;197;213;362
07:40;7391;2207;840;198;213;362
07:45;7965;2181;844;199;213;362
07:50;8484;2195;843;197;213;362
07:55;8601;2186;837;198;213;363
08:00;8886;2183;837;198;214;364
08:05;9040;2194;845;198;214;363
08:10;9823;2163;837;196;214;364
08:15;10231;2143;839;195;214;363
08:20;10517;2149;838;193;215;363
08:25;10662;2156;842;195;215;363
08:30;10612;2146;840;194;215;363
08:35;10699;2131;841;191;215;363
08:40;10809;2107;843;190;215;362
08:45;10690;2057;844;187;215;363
08:50;10502;2028;846;187;214;363
08:55;10887;2020;846;187;214;363
09:00;11469;2033;847;186;214;363
09:05;12104;2047;847;186;214;359
09:10;12261;2031;847;187;213;357
09:15;12460;2018;847;186;213;356
09:20;12502;2009;846;186;213;355
09:25;12560;1979;846;185;213;354
09:30;12393;1987;846;184;213;354
09:35;12257;2032;846;184;213;354
09:40;12172;2079;845;183;213;355
09:45;12179;2097;846;184;213;355
09:50;12395;2115;845;185;213;354
09:55;12495;2122;846;185;213;354
10:00;12639;2099;846;185;213;355
10:05;13022;2114;845;185;213;354
10:10;13240;2140;845;186;213;355
10:15;13006;2152;845;185;213;354
10:20;12764;2170;844;183;213;355
10:25;12642;2199;844;183;213;355
10:30;12479;2225;844;185;213;355
10:35;12302;2218;842;185;212;355
10:40;12140;2246;842;184;213;354
10:45;11924;2251;842;184;213;355
10:50;11607;2257;842;184;212;355
10:55;11328;2280;842;183;213;355
11:00;11428;2292;841;184;212;354
11:05;11433;2330;842;185;212;355
11:10;11744;2343;840;185;212;355
11:15;11983;2357;840;186;212;354
11:20;11811;2359;840;185;212;354
11:25;11544;2347;840;184;212;356
11:30;11483;2365;839;184;212;356
11:35;11371;2354;839;184;212;355
11:40;11719;2372;839;183;212;356
11:45;11939;2403;839;183;212;355
11:50;11615;2451;839;183;211;355
11:55;11511;2512;839;184;211;355
12:00;11670;2527;839;185;211;355
12:05;11497;2585;838;185;211;354
12:10;11519;2645;839;185;212;355
12:15;11510;2669;838;186;211;354
12:20;11475;2770;837;186;211;354
12:25;11701;2764;838;185;211;353
12:30;11826;2841;837;184;211;350
12:35;11761;2857;837;184;211;350
12:40;11461;2913;837;184;211;348
12:45;11146;2887;836;185;211;349
12:50;11226;2917;836;185;211;349
12:55;11176;2990;837;184;211;350
13:00;11352;3003;839;185;211;351
13:05;11538;2984;838;186;212;348
13:10;11305;3000;838;185;212;348
13:15;11310;3042;838;185;211;348
13:20;11763;3107;838;184;211;349
13:25;11847;3301;838;184;211;350
13:30;11870;3333;838;185;211;349
13:35;11492;3359;838;185;211;347
13:40;11194;3406;838;185;212;348
13:45;11035;3386;838;185;212;349
13:50;10968;3519;838;183;212;349
13:55;11352;3580;838;184;212;348
14:00;11805;3567;838;184;212;348
14:05;12225;3636;838;184;211;348
14:10;12626;3587;838;183;212;348
14:15;12441;3602;838;184;211;347
14:20;11694;3654;838;184;211;348
14:25;11032;3701;838;183;211;348
14:30;11363;3702;838;183;211;349
14:35;11741;3684;839;184;212;350
14:40;11694;3657;839;186;212;349
14:45;12068;3664;839;185;211;349
14:50;12619;3652;839;184;212;350
14:55;12870;3649;840;184;212;348
15:00;12841;3674;840;186;212;348
15:05;12956;3600;840;184;212;348
15:10;12982;3576;840;184;211;348
15:15;12973;3592;846;185;211;346
15:20;13248;3627;854;186;212;345
15:25;13227;3632;849;189;212;348
15:30;13139;3617;846;187;212;349
15:35;13405;3658;845;187;212;349
15:40;13276;3718;847;186;212;348
15:45;13296;3734;846;188;212;348
15:50;13259;3777;845;188;212;348
15:55;13167;3869;844;189;212;347
16:00;13182;3912;844;189;212;348
16:05;13255;3957;844;191;211;346
16:10;13148;3960;844;191;211;346
16:15;13134;4029;844;191;212;348
16:20;13093;4077;845;193;212;348
16:25;13024;4124;845;193;212;348
16:30;13078;4117;845;195;212;348
16:35;13017;4092;844;196;212;348
16:40;13017;4049;843;195;212;349
16:45;12964;4004;843;194;212;348
16:50;12767;3947;843;195;211;347
16:55;12706;3942;843;197;211;348
17:00;12477;3910;844;198;211;347
17:05;12217;4015;845;197;211;347
17:10;12068;4099;845;196;211;350
17:15;11893;4101;846;198;212;353
17:20;11693;4155;845;199;212;353
17:25;11318;4154;844;199;212;354
17:30;10955;4121;843;198;212;354
17:35;10726;4084;842;197;211;355
17:40;10434;4093;841;197;212;355
17:45;10031;4080;842;198;212;355
17:50;9565;4063;841;198;212;355
17:55;9045;4000;842;198;212;356
18:00;8393;3993;842;198;212;356
18:05;7656;3991;842;199;212;356
18:10;7071;3965;842;198;212;356
18:15;6567;3972;842;197;212;356
18:20;6000;4003;842;198;213;357
18:25;5445;3999;842;199;213;355
18:30;4882;4013;842;199;213;355
18:35;4351;3991;842;199;213;357
18:40;3803;3974;842;199;213;357
18:45;3263;3974;842;199;213;357
18:50;2750;3990;843;197;214;357
18:55;2315;3993;843;197;213;355
19:00;1919;3948;843;199;213;356
19:05;1548;3907;843;200;214;355
19:10;1204;3897;844;200;214;357
19:15;945;3878;844;198;214;357
19:20;782;3868;844;198;211;358
19:25;576;3898;842;197;211;358
19:30;378;3917;842;198;211;356
19:35;315;3967;842;197;211;357
19:40;269;3969;843;198;212;357
19:45;241;3977;844;199;211;357
19:50;214;3963;844;199;211;356
19:55;209;3942;844;198;211;356
20:00;208;3956;844;197;211;355
20:05;209;4023;844;197;211;356
20:10;209;4081;844;199;211;363
20:15;210;4098;844;197;211;363
20:20;211;4146;845;196;211;362
20:25;212;4162;847;194;211;363
20:30;213;4176;847;192;211;363
20:35;213;4159;852;192;211;363
20:40;214;4142;857;191;211;363
20:45;214;4096;857;191;211;363
20:50;215;4082;859;191;211;364
20:55;215;4069;859;190;211;363
21:00;215;4054;859;190;212;362
21:05;214;4041;859;191;213;362
21:10;215;4051;859;191;213;361
21:15;215;4068;859;193;213;360
21:20;215;4041;859;193;213;361
21:25;216;4057;859;192;213;360
21:30;216;4087;860;192;213;360
21:35;216;4093;859;194;212;361
21:40;217;4119;860;194;212;361
21:45;218;4139;860;194;212;360
21:50;218;4140;860;196;213;360
21:55;218;4158;861;195;212;360
22:00;218;4143;862;194;212;360
22:05;218;4130;865;187;212;360
22:10;218;4131;873;183;212;364
22:15;218;4135;878;185;212;363
22:20;218;4116;884;187;213;362
22:25;218;4137;886;188;213;360
22:30;218;4154;891;186;213;360
22:35;218;4152;892;189;213;360
22:40;218;4155;891;190;212;361
22:45;218;4165;893;192;213;361
22:50;218;4157;892;192;213;362
22:55;218;4176;892;188;212;361
23:00;218;4166;893;187;212;361
23:05;218;4137;892;183;213;361
23:10;218;4089;892;181;212;364
23:15;168;4015;891;183;213;364
23:20;118;3988;892;184;212;363
23:25;118;3955;891;184;212;363
23:30;118;3962;891;185;212;362
23:35;118;3966;892;185;212;363
23:40;118;3957;891;185;213;363
23:45;118;3937;891;186;213;364
23:50;116;3936;892;187;213;363
23:55;114;3966;889;185;213;361
